"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"R2,R3";"R_0402_1005Metric";2;"0R (5%)";;;
2;"C4,C9,C8,C6";"C_0402_1005Metric";4;"0.1uF/50V(10%)";;;
3;"R1";"R_0402_1005Metric";1;"2K";;;
4;"S1,S2";"SW_PTS636_SM43J_SMTR_LFS";2;"PTS636_SM43J_SMTR_LFS";;;
5;"U4";"SOT-223-3_TabPin2";1;"AMS1117-3.3";;;
6;"R7";"R_0402_1005Metric";1;"22.1K(5%)";;;
7;"C5";"C_0402_1005Metric_Pad0.74x0.62mm_HandSolder";1;"4.7uF/6.3V(10%)";;;
8;"C2,C1";"C_0603_1608Metric";2;"22uF/10V(20%)";;;
9;"Q2,Q1";"TRANS_MMSS8050-H-TP";2;"MMSS8050-H-TP";;;
10;"Z2,Z3,Z1";"STN101033B101";3;"STN101033B101";;;
11;"D3";"SOD2513X120N";1;"BAT54WS-7-F";;;
12;"R8";"R_0402_1005Metric";1;"47.5K(5%)";;;
13;"U1";"ESP32-WROOM-32";1;"ESP32-WROOM-32";;;
14;"J1";"USB_Micro-B_Amphenol_10103594-0001LF_Horizontal";1;"USB_B_Micro";;;
15;"R10,R4,R5";"R_0402_1005Metric";3;"10K(5%)";;;
16;"R6";"R_0402_1005Metric";1;"2K(5%)";;;
17;"C7";"C_0603_1608Metric";1;"22uF/10v(20%)";;;
18;"D1";"LED_0201_0603Metric";1;"LED";;;
19;"IC1";"QFN50P500X500X80-29N-D";1;"CP2102N-A02-GQFN28";;;
