Ref,Val,Package,PosX,PosY,Rot,Side
"J2","Conn_01x19_Pin","PinHeader_1x19_P2.54mm_Vertical",146.660000,-89.710000,90.000000,bottom
"J3","Conn_01x19_Pin","PinHeader_1x19_P2.54mm_Vertical",146.650000,-113.680000,90.000000,bottom
"C1","22uF/10V(20%)","C_0603_1608Metric",111.770000,-93.910000,-90.000000,top
"C2","22uF/10V(20%)","C_0603_1608Metric",113.610000,-93.900000,90.000000,top
"C3","0.1uF/50V(10%)","C_0402_1005Metric",115.402000,-92.920800,0.000000,top
"C4","0.1uF/50V(10%)","C_0402_1005Metric",115.402000,-94.890800,0.000000,top
"C5","4.7uF/6.3V(10%)","C_0402_1005Metric_Pad0.74x0.62mm_HandSolder",117.647500,-96.810000,0.000000,top
"C6","0.1uF/50V(10%)","C_0402_1005Metric",117.660000,-94.890000,0.000000,top
"C7","22uF/10V(20%)","C_0603_1608Metric",122.683200,-102.176800,180.000000,top
"C8","0.1uF/50V(10%)","C_0402_1005Metric",117.710800,-93.011200,0.000000,top
"C9","0.1uF/50V(10%)","C_0402_1005Metric",115.360400,-96.801600,0.000000,top
"D1","LED","LED_0201_0603Metric",115.710000,-98.750000,90.000000,top
"D3","BAT54WS-7-F","SOD2513X120N",111.502200,-98.230600,-90.000000,top
"IC1","CP2102N-A02-GQFN28","QFN50P500X500X80-29N-D",117.170000,-103.870000,0.000000,top
"J1","USB_B_Micro","USB_Micro-B_Amphenol_10103594-0001LF_Horizontal",101.937500,-101.355000,-90.000000,top
"Q1","MMSS8050-H-TP","TRANS_MMSS8050-H-TP",114.540000,-109.525000,-90.000000,top
"Q2","MMSS8050-H-TP","TRANS_MMSS8050-H-TP",119.070000,-109.560000,90.000000,top
"R1","2K","R_0402_1005Metric",114.150000,-98.790000,90.000000,top
"R2","0R (5%)","R_0402_1005Metric",125.270000,-102.220000,0.000000,top
"R3","0R (5%)","R_0402_1005Metric",125.270000,-104.210000,0.000000,top
"R4","10K(5%)","R_0402_1005Metric",111.360000,-107.710000,90.000000,top
"R5","10K(5%)","R_0402_1005Metric",123.571000,-109.778800,0.000000,top
"R6","2K(5%)","R_0402_1005Metric",110.840000,-102.430000,0.000000,top
"R7","22.1K(5%)","R_0402_1005Metric",110.860000,-103.470000,180.000000,top
"R8","47.5K(5%)","R_0402_1005Metric",122.763200,-104.206800,0.000000,top
"R9","10K(5%)(NC)","R_0402_1005Metric",122.793200,-106.616800,0.000000,top
"R10","10K(5%)","R_0402_1005Metric",125.322800,-106.606400,0.000000,top
"S1","PTS636_SM43J_SMTR_LFS","SW_PTS636_SM43J_SMTR_LFS",105.127500,-94.310000,0.000000,top
"S2","PTS636_SM43J_SMTR_LFS","SW_PTS636_SM43J_SMTR_LFS",105.470000,-108.750000,0.000000,top
"U1","ESP32-WROOM-32","ESP32-WROOM-32",138.930000,-101.260000,-90.000000,top
"U4","AMS1117-3.3","SOT-223-3_TabPin2",122.972800,-96.114000,-90.000000,top
"Z1","STN101033B101","STN101033B101",106.385000,-101.180000,180.000000,top
"Z2","STN101033B101","STN101033B101",106.374600,-102.932600,180.000000,top
"Z3","STN101033B101","STN101033B101",106.400000,-99.427400,180.000000,top
